 xx就要多读书-,还掉色  我的滤镜撑不下去了  不！搞！丑！的！//@开光佛珠_ :成功教育大家一胖毁所有
nxxyeah,虽然想干文职，但是感觉肉体撑不下去啊今天看了一天的电脑感觉我脑子都要炸了 ?
Okasiaaan,啊啊啊啊啊今天真的好累啊好无力真的快撑不下去啦还是加油吧现在的分别是为了更好的重聚现在的疏远是为了更好的在一起我会慢慢走向你的 ?
Okasiaaan,啊啊啊啊啊今天真的好累啊好无力真的快撑不下去啦还是加油吧现在的分别是为了更好的重聚现在的疏远是为了更好的在一起我会慢慢走向你的 ?
Okasiaaan,啊啊啊啊啊今天真的好累啊好无力真的快撑不下去啦还是加油吧现在的分别是为了更好的重聚现在的疏远是为了更好的在一起我会慢慢走向你的 ?
OlivierFlament,所以今晚大内用不用蹲邀请码…7月1了//@废文网大内总管:近期管理组处理了类似“给我升级”的无意义水贴1106条和点评593条，两次外来粉圈引战，数十起不看版规帮助、格式错误的提问，多个莫名敏感zz话题，许多边限标记违规，以及如图示（见评论）的恶性谩骂…真的撑不下去了…不敢再放开
onedaylme,#ioi重组官宣#wtmxsl有的人真的也太搞笑了 像请夏这种自己已经都能撑起solo的 而且都已经做出成绩来的才是真的重情重义好吧 某些在国内蹚浑水混不下去自己败自己名声的 真的是占了大便宜了好吧 看到居然有人说这种话 真的生气 什么叫得了便宜还卖乖啊 ?
onedaylme,#ioi重组官宣#wtmxsl有的人真的也太搞笑了 像请夏这种自己已经都能撑起solo的 而且都已经做出成绩来的才是真的重情重义好吧 某些在国内蹚浑水混不下去自己败自己名声的 真的是占了大便宜了好吧 看到居然有人说这种话 真的生气 什么叫得了便宜还卖乖啊 ?
Oosakiren,想要快乐 想要喜欢的人谢谢? //@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
ORANGECJ,#象山影视城# 29号自驾了一波去象山影视城，无奈30号遇到了一波强降雨，心疼我全湿掉的yeezy...还好景区边上有个剧组超市还挺实惠，买了双拖孩15块，靠它撑起了我继续游玩下去的信心。景区门口吃饭也不贵，都是正常价格。进入景区后里面所有的便利店都是无人便利店，让我感受到了科技的先进。那种小黄 ?  展开全文c
Osh-eng香,#宣酒6上市热销一周年# 一周年快乐！@低小明儿@韩家在仔@自心自虐
Osmanthus_旺旺,#李汶翰 0722生日快乐# 好东西又来啦！看看呗！简便直达@UNINE_李汶翰 #李汶翰软糖沙滩#
Osmanthus_旺旺,#李汶翰 0722生日快乐# 我只是难过这么晚才认识你，你一直很优秀，我没有选错@UNINE_李汶翰 #李汶翰软糖沙滩#
Osmanthus_旺旺,#李汶翰软糖沙滩# 不会的！所以，数据得重视起来了吧？不止7月还有以后也要有很棒的数据做底气！@UNINE_李汶翰 bb一句星饭应援榜记得哦#李汶翰 0722生日快乐#
Paco_Yao,那次得你冒险半夜上山 争拗中队友不想撑下去那时其实尝尽真正自由 但又感到没趣? 今日推荐：《任我行》 - 陈奕迅在很长的时间里一直单曲循环的歌，除了曲风很顺畅一气呵成的感觉之外，歌词真的很值得细细去琢磨。歌词里的主角“你”从小固执倔强，追求自由，长大后慢慢学乖变得不再那么勇敢了，开 ?  展开全文c
Paco_Yao,那次得你冒险半夜上山 争拗中队友不想撑下去那时其实尝尽真正自由 但又感到没趣? 今日推荐：《任我行》 - 陈奕迅在很长的时间里一直单曲循环的歌，除了曲风很顺畅一气呵成的感觉之外，歌词真的很值得细细去琢磨。歌词里的主角“你”从小固执倔强，追求自由，长大后慢慢学乖变得不再那么勇敢了，开 ?  展开全文c
peng勒,郭子凡#0711郭子凡生日快乐# 你是年少的欢喜 反过来也是你七月第一天 郭老师 晚安呐 ?
pilot-space,#李泰容0701生日快乐#
Pleoeg,六月认识了可爱的人儿? ?? ?? ?? 创造了美好又快乐的回忆? 七月拜托让我的愿望都实现吧我会更加努力地去对待生活和自己的！ ?
pochiiiii,这个六月是目前为止 大学过的最苦的一个月 有过边吃饭边哭的中午 在图书馆差点崩溃的中午  每天睡眠不足脸色暗沉毫无血色 一度吃不下饭 感受不到饥饿 靠姐妹舍友的鼓励撑下去 好在结束了 但是也不能说过的很快 这一个月在过的时候觉得好难熬 开始了新的一阶段 回到了回来的生活轨迹  接下去也请对我好 ?  展开全文c
pochiiiii,这个六月是目前为止 大学过的最苦的一个月 有过边吃饭边哭的中午 在图书馆差点崩溃的中午  每天睡眠不足脸色暗沉毫无血色 一度吃不下饭 感受不到饥饿 靠姐妹舍友的鼓励撑下去 好在结束了 但是也不能说过的很快 这一个月在过的时候觉得好难熬 开始了新的一阶段 回到了回来的生活轨迹  接下去也请对我好 ?  展开全文c
PrettyJane,生日快乐！ ?
PSYCHO喵言喵语,不要熬夜了//@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
QALTP糖,多好的两个蓝孩子[大侦探皮卡丘微笑]确认过眼神，是一起去过密室逃脱的深厚友情你们都要快快乐乐的～嗨嗨皮皮的～（谁讲小话顺着网线给他拔掉）
qi510678878,#zxc668# 杨浩走到悬崖边第一个跳下去“，嗵“地一声跌入深深的河水。尽管他早有准备，可是黑漆涛的难以视物，他无法掌握落水的准确时间，猛地沉入水中，差点儿便喝上一口河水，他摒住了呼吸，浮出水面时立即猛力划水，强撑着不让自己顺水飘的太快，仰头向崖上大叫：石，兄弟们，本帅平安无恙，大家下? ?
qi510678878,#zxc668# 杨浩走到悬崖边第一个跳下去“，嗵“地一声跌入深深的河水。尽管他早有准备，可是黑漆涛的难以视物，他无法掌握落水的准确时间，猛地沉入水中，差点儿便喝上一口河水，他摒住了呼吸，浮出水面时立即猛力划水，强撑着不让自己顺水飘的太快，仰头向崖上大叫：石，兄弟们，本帅平安无恙，大家下? ?
Ql四海5,有些关系真的不是你努努力就可以继续撑下去的呀因为是后来者那么坐在最后一排 我真的没关系我想同行者里总要有人做最后一名 我已经在尽力清空我的友情世界不让它变得复杂 我也在努力不去打扰你们原有的节奏 接受吐槽但并不代表可以接受你们从内心的鄙夷 因为不想总是把心思放在多余的情感处理 我已  展 ?  展开全文c
QUIZAS____,分享单曲 K你不是真正的快乐 (@网易云音乐) 不，我快乐！ ?
QYQQQOO,"Take my time, step by step//@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了"
Rabbitwool_梦比优斯出蓝光了么,//@-月島流星-:她曾活过啊//@布丁珍宝珠:我还记得//@努力成为有猫阶级:我一直记得这个女孩，跳楼前对消防员说谢谢，可是她真的是撑不下去了，在她苦苦挣扎的那段黑暗时光里，根本等不到一句“抓了”……
Rabbitwool_梦比优斯出蓝光了么,//@-月島流星-:她曾活过啊//@布丁珍宝珠:我还记得//@努力成为有猫阶级:我一直记得这个女孩，跳楼前对消防员说谢谢，可是她真的是撑不下去了，在她苦苦挣扎的那段黑暗时光里，根本等不到一句“抓了”……
Rail_Y,提前祝大家平安夜快乐?  ?
renfen05,梁博，元宵节快乐，希望你放烟火了！一年新的开始，我们又将开始新的期盼！ ?
rioota,现在训练饮食都能控制，可是控制精神真的最难的，我得到处寻找精神支柱，不然真撑不下去[捂脸]#女生晒肌肉大赛# 2济南 ?
Robin还不够有趣,写给自己的九句话——当你撑不下去的时候，当你心情烦躁的时候，当你觉得迷茫的时候，就读一遍。 ?
S__seven琴,开心的工作，开心的生活，别太为难自己//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
sehun奶罐,暑假快乐，努力挣钱
serendipity0506,今天去拉面店  这份量跟价钱正比21我吃一半吃不下去了 ....撑 ?
serendipity0506,今天去拉面店  这份量跟价钱正比21我吃一半吃不下去了 ....撑 ?
Sherlockkkk,哎哟我球球西兰花赶紧出BDCDDVD吧行不行只靠前三刷的记忆我快撑不下去了
shine想过,担心老钟的身体担心指南针能不能撑下去不担心自己了毕竟也就是个死立执和死缓的差别了呗…我恨 ?
shine想过,担心老钟的身体担心指南针能不能撑下去不担心自己了毕竟也就是个死立执和死缓的差别了呗…我恨 ?
SoulmateGJ,我真的撑不下去了 ?
ssssssssssssA,雅小茹生日快乐? ??? ? ? ? ?  ?
Stargazer空想家,作为一个资深宅现在觉得自己怎么与世隔绝的？之前大火的巨人，喰种和re0，我是实在没觉得哪里好看。不是没看，看了几集实在撑不下去了弃了。先说巨人，军国主义洗脑我根本无法接受，喰种，完全不知道哪里好看。不是说这种题材不接受，确实最近生存向猎奇向食人向都写烂了但是比如生存向的real account ?  展开全文c
Stargazer空想家,作为一个资深宅现在觉得自己怎么与世隔绝的？之前大火的巨人，喰种和re0，我是实在没觉得哪里好看。不是没看，看了几集实在撑不下去了弃了。先说巨人，军国主义洗脑我根本无法接受，喰种，完全不知道哪里好看。不是说这种题材不接受，确实最近生存向猎奇向食人向都写烂了但是比如生存向的real account ?  展开全文c
Steelplate45,@星组汉化 特别的爱给特别的你，生日快乐我的亲！ 查看动图
stjkksbygkww,七月了 希望你做一只快乐的小猪@UNINE_胡春杨 ?
StockholmSyndrome0606,#李泰容0701生日快乐# //@李泰容吧_TaeYongBar:转发容吧此微博并带上#李泰容0701生日快乐#的tag，当原微博转发过7100时，吧主八八将会抽奖送出现金701*1、521*1、171*1、2条泰容生日官方手链、3份美巡泰容相关官方展会周边、2份coex官方泰容周边给大家，明晚开奖。大家一起为泰容冲鸭
Strawberry7Y,八月收到大学的录取通知书，然后开始新的生活//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
sUgarSsl,发现我对长安十二时辰的期望太高了吧强撑着看了四集，我没看懂，我没看懂，我没看懂这种感觉就像当初满心期待深夜食堂一样，强撑着看，最后实在看不下去了我对不起雷雷，对不起四字弟弟，我觉得，我明天再试下，再挣扎一下下…… ?
sunningci,做人要真实 睡不着就要大声说出来七月一号开始真的要好好学习了(flag立下最后祝大家毕业都很快乐#毕业季# ?
sunny8065_655_145,#百事纯净水将改用铝罐#朴灿烈边伯贤[SMTOWN]18.09.24推特更新灿烈伯贤相关中秋节快乐42秒处 ?
sunXkun,今年过好快啊，都下半年了。半年来好像是，在等待中度过的，包括刚刚过去的癫疯之夜，也是苦等了快一个月。等的都是关于崽崽。但今年自己也很多事，工作很忙，猫生病离世，还有大大小小烦心的事情，每天都觉得自己快撑不下去了，现在好像也还行。那份无法割舍的依赖感，反而让我更有勇气面对这些事情 ?  展开全文c
sunXkun,今年过好快啊，都下半年了。半年来好像是，在等待中度过的，包括刚刚过去的癫疯之夜，也是苦等了快一个月。等的都是关于崽崽。但今年自己也很多事，工作很忙，猫生病离世，还有大大小小烦心的事情，每天都觉得自己快撑不下去了，现在好像也还行。那份无法割舍的依赖感，反而让我更有勇气面对这些事情 ?  展开全文c
superlinux华,#男生和女生眼中的蜘蛛侠#等待着下课，等待着放学，等待的童年。童年的歌谣依旧，只是我们已经长大。何不抛下生活的重负，重温儿时的快乐。 ?
SyncDreams_Aily,#李泰容0701生日快乐#
S九尾妖狐,摊上这种婆子倒了八辈子霉了！有点坚持不下去了，想带孩子离开，感觉自己撑着很累！ ?
S九尾妖狐,摊上这种婆子倒了八辈子霉了！有点坚持不下去了，想带孩子离开，感觉自己撑着很累！ ?
tanB_CandyGre_,#李泰容0701生日快乐# //@Cupido_李泰容安利博:#李泰容0701生日快乐#? 李泰容 我们的泰容又大一岁啦生日快乐?  愿你的努力不会被辜负 愿你的身体不用再受伤 愿你一切平安喜乐【有奖转发】 转发这条微博带话题#李泰容0701生日快乐# 抽一人送泰容生日手链 一起为泰容庆生吧
Teresa高小亚,夏天来了，我却扭过头去。你看不见的，理想和生活之间的距离。你不明白的，远不是撑下去这样容易。K没有理想的人不伤心 ?
Teresa高小亚,夏天来了，我却扭过头去。你看不见的，理想和生活之间的距离。你不明白的，远不是撑下去这样容易。K没有理想的人不伤心 ?
Teresa高小亚,夏天来了，我却扭过头去。你看不见的，理想和生活之间的距离。你不明白的，远不是撑下去这样容易。K没有理想的人不伤心 ?
TheLoverTop,别熬夜了//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
TheresNoSuchThing,天涯若比邻。@believetree 生辰快乐！ ?
Tiger彬彬,我承认我过得一点也不好很多时候真的都要熬不下去 快要崩溃了我不知道哪儿有这么多压力改变的失去的都太多了好多事情真的接受不了 但我也无力抗拒只能哭完了再爬起来，继续走下去这辈子从来就没坚强过大小坎都是死撑过去 ?只有靠自己。  加油?? ?
Tiger彬彬,我承认我过得一点也不好很多时候真的都要熬不下去 快要崩溃了我不知道哪儿有这么多压力改变的失去的都太多了好多事情真的接受不了 但我也无力抗拒只能哭完了再爬起来，继续走下去这辈子从来就没坚强过大小坎都是死撑过去 ?只有靠自己。  加油?? ?
Tinng_y,真的会感觉撑不下去想要做的事情和已经要做的事情全部推翻重来一次接着一次爆炸 ?
tiny-529,生日快乐，对这个世界再多一些耐心和温柔吧 愿望悄悄许在心里。 2沈阳·辽宁大学北校区 ?
TONGJINLING59,因为有你们 才更热爱生活不然生活一直灰色我都不知道要怎么撑下去 ?
TONGJINLING59,因为有你们 才更热爱生活不然生活一直灰色我都不知道要怎么撑下去 ?
Tronrto,最近舍友陆陆续续地身体出现小毛病。一个喉咙痛，一个感冒发烧，他们第一时间就去解决，不会拖。想想自己，高三上学期，明明感觉到发烧感冒无力，持续了几天，硬是感觉自己还撑得下去那就撑，药也不怎么吃，结果撑了一个星期才好，鬼知道身体他熬过了什么。高三下学期喉咙严重发炎，连续咳了几天，越来 ?  展开全文c
Tronrto,最近舍友陆陆续续地身体出现小毛病。一个喉咙痛，一个感冒发烧，他们第一时间就去解决，不会拖。想想自己，高三上学期，明明感觉到发烧感冒无力，持续了几天，硬是感觉自己还撑得下去那就撑，药也不怎么吃，结果撑了一个星期才好，鬼知道身体他熬过了什么。高三下学期喉咙严重发炎，连续咳了几天，越来 ?  展开全文c
Tung今天去图书馆了吗,我反射弧很长 可这真的已经是2019年了吗//@小羊爱吃酱肘子:想要我爱的朋友们都好好的！//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@ali_thin:求你减肥//@Tiger公子:别再生病了
Typewriter猴_VoV,merry xmas//@杏银杏:圣诞快乐就完事了//@文乃廚:总之先圣诞快乐//@苍旻白轮p:不知道说什么，就圣诞快乐吧
ty今天胖了吗,容啊，生日快乐 ?
TY走花路,#李泰容0701生日快乐# 我最喜欢的歌，我最爱的人
T好心晴T,手机忘在公司了，我这脑袋，初老的症状十分明显，记性变好差，这肚子从去年开始撑起来就再也没有下去过，脸上连镜子都不想照了，美颜也盖不住的道道，唉 2绍兴 ?
unhappygoose,脚踩体制内拳打流量圈 出国唱跑调海外无人晓 出圈全靠假唱逼格全凭粉吹 原创想出好剧还靠跨界撑场 谁借沪圈如此雄心豹胆………编不下去了反正小鹅不知道 ?
unhappygoose,脚踩体制内拳打流量圈 出国唱跑调海外无人晓 出圈全靠假唱逼格全凭粉吹 原创想出好剧还靠跨界撑场 谁借沪圈如此雄心豹胆………编不下去了反正小鹅不知道 ?
valeriantaker,周末看了两天书 昨天晚上撑不下去十点睡了 定了6点的闹钟起来 没起来我觉得就每节课按这阅读量和我在电脑上死都看不进书的习惯 明年选的课会死 九月回来还得再研究研究课了?  ?
valeriantaker,周末看了两天书 昨天晚上撑不下去十点睡了 定了6点的闹钟起来 没起来我觉得就每节课按这阅读量和我在电脑上死都看不进书的习惯 明年选的课会死 九月回来还得再研究研究课了?  ?
ViolaXuHao,撑不下去就休息休息吧！（做什么梦呢，看看你的银行存款，你配吗？！）//@妖妖小精:吃好睡好，天天拉粑粑～
ViolaXuHao,撑不下去就休息休息吧！（做什么梦呢，看看你的银行存款，你配吗？！）//@妖妖小精:吃好睡好，天天拉粑粑～
VivienneMe,#陈情令# 不行了，撑不下去了，弃。我的Wi-Fi是潇洒不羁少年郎，不是娇俏可人小郎君 ?
VivienneMe,#陈情令# 不行了，撑不下去了，弃。我的Wi-Fi是潇洒不羁少年郎，不是娇俏可人小郎君 ?
vLillianAnny,快乐金门2日游? 等我的Vlog? ????
vnnzl,打榜五分钟，开心两小时！速来助力@尤长靖 的K一个人记得 在#亚洲新歌榜#夺冠，我爱打榜，打榜使我快乐！ ?
Vx_利刃,每天凌晨两点回到宿舍，早上又坚持着睁开双眼听课。我以为这是一段痛苦的日子，但室友一句话惊醒了我，“在单位是没有这么纯粹的时间”。是的，也许我们都抱怨过累，但内心是痛并快乐着的，解除一切羁绊专心于一件事，多么美好的日子，如同我现闻着清香缓缓入眠。 ?
WANHUA--,十年一品温如言言先生，生日快乐！往后余生，和言太太一起幸福（希望西安的天气可以祝福你） ?
Wanlokk,“摁下琴鍵那一刻是快樂的，斷斷續續地傳來天空之城的曲音，也是快樂的。” ?
WastedinSyrup,哥哥生日快乐！等着我去见你#林宥嘉0701生日快乐##林宥嘉#林宥嘉 ?
wbxsbywpa,别人在睡觉 我已经在等公交了 唉 该怎样才能坚持下去 好害怕撑不下去了 ?
wbxsbywpa,别人在睡觉 我已经在等公交了 唉 该怎样才能坚持下去 好害怕撑不下去了 ?
Wngchng_,#李泰容0701生日快乐# Happy TY Day?  LWngchng_的微博视频 ?
WQQLi-波谲云spv,行动不一定带来快乐，而无行动则决无快乐。 ?
Wwwkb-3-,平安健康开心//@小羊爱吃酱肘子:想要我爱的朋友们都好好的！//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@ali_thin:求你减肥//@Tiger公子:别再生病了
wxf_203,#想念严敏#第一期播的时候我还发微博说极挑还是一如既往的搞笑，还劝网友不要那么严格。后来，连我自己都看不下去了，完全没有之前的感觉了，现在的极挑完全就靠那几个人死撑，而我，已经丧失了点开的冲动，颜王再美都无法再挽回我了 ?
wxf_203,#想念严敏#第一期播的时候我还发微博说极挑还是一如既往的搞笑，还劝网友不要那么严格。后来，连我自己都看不下去了，完全没有之前的感觉了，现在的极挑完全就靠那几个人死撑，而我，已经丧失了点开的冲动，颜王再美都无法再挽回我了 ?
Xback_lihua,转发微博
Xiao年轮,撑不下去的时候还有你这样也很幸福谢谢你 ?
Xiao年轮,撑不下去的时候还有你这样也很幸福谢谢你 ?
xinrui121121z775,怎样培养出聪明快乐的孩子 ???? ????
Y__晴晴,好朋友的生日我们的快乐日爱你? ?
yangqqingssss,如果我不撑下去那它们就没依靠了 ?
yangqqingssss,如果我不撑下去那它们就没依靠了 ?
Yang阿哲,我的微博，撑下去！！！加油！！！冲鸭！！！我也不知道发什么，希望多点原创，别死号。走过路过的盆友们，聊一下啊。 ?
YC-杨闯,#zxc668# “爹，我们拼下去，现在甘州还没被打下来，杨浩居然绕过甘州来打我肃州，我肃州就这么好欺负吗？咱们多年经营，好不容易有了一块属于自己的地方，如果丢了肃州。咱们龙家还能到哪儿去？和他们拼到底，他们劳师远征，兵员接济不上，粮草耗费更巨，只要的们咬咬牙撑下去，一定能撑到杨浩退兵。? ?
yetangyu,这日子，撑不下去了，好想说一句：我好累！ 2重庆 ?
Yiguasumlp,事实证明男人果然撑不起我的心情，无论怎样都开心不起来，这些年感到开心的几个时刻，无一不是学业顺利的时刻，现在工作不太顺利，不管碰到什么样的人，我都很难笑的出来，可是这条路太难撑下去了，孤独感有的时候几乎吞噬了一切，可是如果再这样下去，不是我想要的关系，走的太偏了。 ?
Yiguasumlp,事实证明男人果然撑不起我的心情，无论怎样都开心不起来，这些年感到开心的几个时刻，无一不是学业顺利的时刻，现在工作不太顺利，不管碰到什么样的人，我都很难笑的出来，可是这条路太难撑下去了，孤独感有的时候几乎吞噬了一切，可是如果再这样下去，不是我想要的关系，走的太偏了。 ?
Yikefeizifen·,再不拉屎我撑得躺不下去 ?
Yikefeizifen·,再不拉屎我撑得躺不下去 ?
yoloxye_,七月啦！下半年啦！七月啦  生日快到啦  嘻嘻开心  加油冲冲冲  希望七月可以开开心心  快乐冲冲冲七月啦   翻篇啦 ?
Yourbabypiggggggg,撑不下去了真的撑不下去了，男朋友电话还打不通 ?
Yourbabypiggggggg,撑不下去了真的撑不下去了，男朋友电话还打不通 ?
yuanyuanyuanyuanyuan-,吃?  撑的坐不下去了 绝望 ?
yuanyuanyuanyuanyuan-,吃?  撑的坐不下去了 绝望 ?
yue_月上柳梢头,之前怎么都用不掉的面霜两天下去一大坨，我怀疑撑不到结束 ?
yue_月上柳梢头,之前怎么都用不掉的面霜两天下去一大坨，我怀疑撑不到结束 ?
Yuri_Blue,现在最惨的就是听到人说“撑不下去就回来吧”我都觉得好像没有去哪个地方可以被称为“回来” ?
Yuri_Blue,现在最惨的就是听到人说“撑不下去就回来吧”我都觉得好像没有去哪个地方可以被称为“回来” ?
Yvub1-防患未lwq,哭，并不代表我屈服；退一步，并不象征我认输； 放手，并不表示我放弃；微笑，并不意味我快乐! ?
Z9Ol2-为所欲mps,心简单，世界就简单，幸福才会生长；心自由，生活就自由，到哪都有快乐。 ?
zGbSE-交战国mwd,如果我们有着快乐的思想，我们就会快乐；如果我们有着凄惨的思想，我们就会凄惨。 ?
zheeeewen,哈哈哈哈哈哈哈哈 zyl一个讲相声的 还没他粉丝搞笑//@猕猴桃好可爱一水果_:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈今日快乐源泉，暑假开始了，没事干就多学习，毕竟要努力别小学四年级就肄业了//@姜熙健的男朋友:建议第一步去精神病院把妄想症治好
Ziho智豪,不过感觉情怀快撑不下去了哈哈哈哈
Ziho智豪,不过感觉情怀快撑不下去了哈哈哈哈
ziiguu,#R1SE姚琛# yc#姚琛Cookies#  不悔过去，不虑未来，做好现在。姚琛加油！ 出道快乐 @R1SE-姚琛 ?
ZL小皮孩儿咯咯咯,我拼尽全力努力的效果都不及别人的万分之一，是不是太愚蠢了？撑下去好难受，我怕再也没有阳光，我想，可是，我做不到 ?
ZL小皮孩儿咯咯咯,我拼尽全力努力的效果都不及别人的万分之一，是不是太愚蠢了？撑下去好难受，我怕再也没有阳光，我想，可是，我做不到 ?
ZmcBL-魏公村lsn,假如生活欺骗了你，不要忧郁，也不要愤慨！不顺心的时候暂且容忍：相信吧，快乐的日子就会到来。——普希金 ?
Zmyyyyyyy_,自律//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
Zunnnnlier,了却了前半年几件重要的事情。深夜黄昏，自此闭关。祝你今日好，愿你往后安。生日快乐。 ?
Z恩Z恩P大桢,然而今天点了冰巧克力（不去奶油）还有芋圆波波茶，喝得干干净净呢月初了不来点糖分真的撑不下去
吖咩咩-,我不想复习了看不进去背不进去还没背完最后一次考试我竟然要撑不下去了 ?
吖咩咩-,我不想复习了看不进去背不进去还没背完最后一次考试我竟然要撑不下去了 ?
阿步的每一步,#我的恐怖妻子#我能说这就是部脑残剧吗？！各种瞎编乱造为了反转而反转，鬼扯到简直是侮辱观众的欣赏水准，幼稚到让人想起奥特曼。被高分骗进去看了5集实在撑不下去了。评论区却真的是各种由衷赞美就差三呼万岁了。难道和雨女无瓜的梗我不觉得好笑一样，这是和00后的代沟？得。。 ???还是看我的美剧 ?  展开全文c
阿戳阿阿阿,再吐下去我怕是撑不到张颜齐21岁生日了 ?
阿戳阿阿阿,再吐下去我怕是撑不到张颜齐21岁生日了 ?
阿怪Juy,六月的一些散装快乐 ?
阿过今年是最后一次改名机会了,快乐追星 ?
阿拉拉拉朗LANG,问世间谁最坦荡，给@高嘉朗JG  的KBeginning（起点） 打榜的我当仁不让！#亚洲新歌榜#   打榜快乐吖！ ?
阿毛的咸奶盖儿,别胡思乱想 快乐就是灵丹妙药 ?
阿萧有个糖先生_,考试给我过啊！！！//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
阿依土鳖六公主,很困被不停弹出来的消息搞得很烦6月份过得很惨淡一点儿激情和动力都没有但是还是要撑下去总觉得应该请一个小长假把该梳理的一团乱的都搞搞清楚可是 在这个大环境里即使梳理八百遍又能解决的了什么呢褪黑素快吃完一瓶了还是每天顶着黑眼圈就这样吧 即使不知道还能坚持多久  ?  展开全文c
啊喵爱吃水蜜桃,暴富暴瘦要快乐//@回忆专用小马甲 :想要快乐? ? //@花泽美美 :好好赚钱！别想有的没的? //@M大王叫我来巡山 :想要的都拥有，得不到的都释怀//@苍南派 :快乐工作快乐生活//@雨玲玲zjl :愿自己的努力不负自己的期望//@ali_thin :求你减肥//@Tiger公子 :别再生病了
啊睿啊Aria,每次压力大到撑不下去的时候发一发wyj的丑照就舒服了！我? ?以了！ ?
啊睿啊Aria,每次压力大到撑不下去的时候发一发wyj的丑照就舒服了！我? ?以了！ ?
哎呀呀我还在等,#七月你好# 除了跟他在一起我不再是以前的我明知道是饮鸩止渴我却甘之如饴我怕没了这个稻草我真的撑不下去 ?
哎呀呀我还在等,#七月你好# 除了跟他在一起我不再是以前的我明知道是饮鸩止渴我却甘之如饴我怕没了这个稻草我真的撑不下去 ?
哀喜0813,常常觉得这水深火热坚持不下去，但捕获朋友和父母只言片语的安慰，又觉得还能再往前走，变得厉害一点吧，有人在背后苦苦撑着我。 ???
哀喜0813,常常觉得这水深火热坚持不下去，但捕获朋友和父母只言片语的安慰，又觉得还能再往前走，变得厉害一点吧，有人在背后苦苦撑着我。 ???
艾丽宝贝儿,要开心//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
爱大太阳的甜,6.30 一天的结束 一周的结束 一月的结束 一个半年的结束 这半年搞了啥？感觉自己一直在搞感情问题 可是现在终于折腾的终于有点爱着的幸福感的 睡在枕边的人 他真的爱我吗 能和我快乐的一起生活吗我只在意这个 可是今天 我又不知道答案了 好像手机掉进水里就预示着我的感情要出问题 太神奇了 有时 ?  展开全文c
爱的那么迷茫与无助,鹿晗#鹿晗0420生日快乐##鹿晗上海堡垒# 早安，鹿饭【早安打卡】————————每日签到————————★ 鹿晗  超级话题签到：http://t.cn/RJSFRjH★鹿吧签到：O鹿晗吧_百度贴吧（请手动签到，切勿一键签到）————————每日投票————————...全 ?  展开全文c
